frame,timestamp_s,x,y,z,qw,qx,qy,qz
246,590.361446,0.771414,-0.130083,-0.771414,0.530502,0.661202,-0.200164,-0.491238
247,592.771084,0.773471,-0.102795,-0.773471,0.528950,0.667641,-0.189910,-0.488264
248,595.180723,0.775045,-0.075443,-0.775045,0.527321,0.673951,-0.179665,-0.485225
249,597.590361,0.776136,-0.048043,-0.776136,0.525606,0.680167,-0.169372,-0.482104
250,600.000000,0.776742,-0.020614,-0.776742,0.523090,0.688612,-0.155050,-0.477650
1,0.000000,0.776179,0.046620,-0.776179,0.519116,0.700616,-0.133971,-0.470858
2,2.409639,0.775113,0.074036,-0.775113,0.517030,0.706375,-0.123531,-0.467392
3,4.819277,0.773563,0.101406,-0.773563,0.514871,0.711997,-0.113118,-0.463868
4,7.228916,0.771529,0.128713,-0.771529,0.512660,0.717439,-0.102817,-0.460316
5,9.638554,0.769014,0.155939,-0.769014,0.510316,0.722892,-0.092264,-0.456609
6,12.048193,0.766018,0.183068,-0.766018,0.507927,0.728153,-0.081848,-0.452885
7,14.457831,0.762544,0.210082,-0.762544,0.505470,0.733276,-0.071471,-0.449108
8,16.867470,0.758594,0.236966,-0.758594,0.502937,0.738284,-0.061087,-0.445264
9,19.277108,0.754170,0.263701,-0.754170,0.500290,0.743244,-0.050550,-0.441297
10,21.686747,0.749274,0.290272,-0.749274,0.497580,0.748058,-0.040070,-0.437285
11,24.096386,0.743911,0.316661,-0.743911,0.494805,0.752735,-0.029627,-0.433222
12,26.506024,0.738083,0.342853,-0.738083,0.491943,0.757310,-0.019146,-0.429078
13,28.915663,0.731795,0.368830,-0.731795,0.489008,0.761761,-0.008676,-0.424872
14,31.325301,0.725049,0.394577,-0.725049,0.485992,0.766100,0.001814,-0.420593
15,33.734940,0.717850,0.420077,-0.717850,0.482882,0.770345,0.012365,-0.416223
16,36.144578,0.710203,0.445316,-0.710203,0.479736,0.774416,0.022780,-0.411843
17,38.554217,0.702112,0.470276,-0.702112,0.476488,0.778400,0.033280,-0.407362
18,40.963855,0.693583,0.494942,-0.693583,0.473173,0.782256,0.043755,-0.402826
19,43.373494,0.684620,0.519299,-0.684620,0.469772,0.786001,0.054258,-0.398212
20,45.783133,0.675230,0.543332,-0.675230,0.466341,0.789578,0.064619,-0.393594
21,48.192771,0.665419,0.567026,-0.665419,0.462773,0.793098,0.075165,-0.388828
22,50.602410,0.655191,0.590365,-0.655191,0.459170,0.796456,0.085589,-0.384051
23,53.012048,0.644554,0.613336,-0.644554,0.455488,0.799696,0.096017,-0.379205
24,55.421687,0.633515,0.635923,-0.633515,0.451746,0.802803,0.106401,-0.374315
25,57.831325,0.622080,0.658114,-0.622080,0.447921,0.805794,0.116804,-0.369349
26,60.240964,0.610257,0.679893,-0.610257,0.444057,0.808638,0.127107,-0.364365
27,62.650602,0.598052,0.701248,-0.598052,0.440084,0.811384,0.137494,-0.359274
28,65.060241,0.585475,0.722164,-0.585475,0.436031,0.814009,0.147888,-0.354111
29,67.469880,0.572531,0.742630,-0.572531,0.431926,0.816496,0.158217,-0.348915
30,69.879518,0.559230,0.762631,-0.559230,0.427777,0.818842,0.168463,-0.343694
31,72.289157,0.545579,0.782156,-0.545579,0.423562,0.821061,0.178681,-0.338419
32,74.698795,0.531588,0.801194,-0.531588,0.419259,0.823163,0.188925,-0.333065
33,77.108434,0.517264,0.819730,-0.517264,0.414918,0.825124,0.199074,-0.327693
34,79.518072,0.502618,0.837754,-0.502618,0.410490,0.826967,0.209245,-0.322242
35,81.927711,0.487658,0.855256,-0.487658,0.405964,0.828693,0.219460,-0.316699
36,84.337349,0.472393,0.872223,-0.472393,0.401404,0.830278,0.229574,-0.311142
37,86.746988,0.456832,0.888645,-0.456832,0.396768,0.831737,0.239679,-0.305522
38,89.156627,0.440987,0.904512,-0.440987,0.392123,0.833050,0.249633,-0.299917
39,91.566265,0.424866,0.919815,-0.424866,0.387359,0.834250,0.259673,-0.294195
40,93.975904,0.408480,0.934543,-0.408480,0.382600,0.835304,0.269534,-0.288507
41,96.385542,0.391838,0.948687,-0.391838,0.377718,0.836241,0.279485,-0.282698
42,98.795181,0.374952,0.962239,-0.374952,0.372765,0.837049,0.289414,-0.276831
43,101.204819,0.357832,0.975190,-0.357832,0.367821,0.837716,0.299165,-0.270999
44,103.614458,0.340489,0.987531,-0.340489,0.362787,0.838257,0.308934,-0.265088
45,106.024096,0.322933,0.999255,-0.322933,0.357631,0.838671,0.318779,-0.259058
46,108.433735,0.305175,1.010355,-0.305175,0.352515,0.838948,0.328392,-0.253099
47,110.843373,0.287227,1.020825,-0.287227,0.347335,0.839095,0.337971,-0.247091
48,113.253012,0.269099,1.030657,-0.269099,0.342034,0.839112,0.347619,-0.240967
49,115.662651,0.250803,1.039845,-0.250803,0.336754,0.838998,0.357080,-0.234891
50,118.072289,0.232351,1.048384,-0.232351,0.331403,0.838754,0.366518,-0.228757
51,120.481928,0.213753,1.056267,-0.213753,0.325994,0.838378,0.375909,-0.222580
52,122.891566,0.195023,1.063492,-0.195023,0.320503,0.837869,0.385295,-0.216333
53,125.301205,0.176170,1.070051,-0.176170,0.314952,0.837227,0.394637,-0.210041
54,127.710843,0.157208,1.075943,-0.157208,0.309413,0.836462,0.403816,-0.203785
55,130.120482,0.138147,1.081163,-0.138147,0.303808,0.835564,0.412960,-0.197478
56,132.530120,0.119001,1.085707,-0.119001,0.298154,0.834536,0.422043,-0.191139
57,134.939759,0.099780,1.089573,-0.099780,0.292373,0.833360,0.431187,-0.184679
58,137.349398,0.080496,1.092759,-0.080496,0.286741,0.832097,0.439959,-0.178407
59,139.759036,0.061163,1.095263,-0.061163,0.280907,0.830670,0.448908,-0.171933
60,142.168675,0.041791,1.097082,-0.041791,0.275085,0.829126,0.457702,-0.165493
61,144.578313,0.022393,1.098216,-0.022393,0.269193,0.827446,0.466463,-0.158999
62,146.987952,0.002981,1.098665,-0.002981,0.263257,0.825635,0.475157,-0.152476
63,149.397590,-0.016433,1.098427,0.016433,0.257280,0.823696,0.483774,-0.145930
64,151.807229,-0.035836,1.097503,0.035836,0.251258,0.821625,0.492321,-0.139357
65,154.216867,-0.055217,1.095894,0.055217,0.245178,0.819419,0.500819,-0.132741
66,156.626506,-0.074564,1.093601,0.074564,0.239124,0.817109,0.509149,-0.126174
67,159.036145,-0.093864,1.090624,0.093864,0.233006,0.814662,0.517437,-0.119558
68,161.445783,-0.113105,1.086966,0.113105,0.226747,0.812043,0.525781,-0.112812
69,163.855422,-0.132276,1.082630,0.132276,0.220646,0.809379,0.533788,-0.106256
70,166.265060,-0.151365,1.077617,0.151365,0.214452,0.806566,0.541790,-0.099620
71,168.674699,-0.170358,1.071932,0.170358,0.208137,0.803586,0.549821,-0.092875
72,171.084337,-0.189246,1.065577,0.189246,0.201821,0.800494,0.557724,-0.086150
73,173.493976,-0.208015,1.058556,0.208015,0.195517,0.797299,0.565486,-0.079456
74,175.903614,-0.226654,1.050875,0.226654,0.189158,0.793967,0.573190,-0.072725
75,178.313253,-0.245152,1.042537,0.245152,0.182763,0.790508,0.580811,-0.065976
76,180.722892,-0.263496,1.033548,0.263496,0.176400,0.786959,0.588273,-0.059279
77,183.132530,-0.281676,1.023914,0.281676,0.169975,0.783269,0.595683,-0.052537
78,185.542169,-0.299680,1.013640,0.299680,0.163464,0.779422,0.603067,-0.045725
79,187.951807,-0.317497,1.002733,0.317497,0.156997,0.775494,0.610279,-0.038978
80,190.361446,-0.335116,0.991200,0.335116,0.150463,0.771420,0.617444,-0.032181
81,192.771084,-0.352525,0.979048,0.352525,0.143917,0.767232,0.624498,-0.025391
82,195.180723,-0.369714,0.966284,0.369714,0.137361,0.762932,0.631443,-0.018610
83,197.590361,-0.386673,0.952917,0.386673,0.130771,0.758505,0.638302,-0.011813
84,200.000000,-0.403389,0.938955,0.403389,0.124163,0.753962,0.645058,-0.005016
85,202.409639,-0.419854,0.924406,0.419854,0.117505,0.749278,0.651745,0.001812
86,204.819277,-0.436057,0.909280,0.436057,0.110887,0.744519,0.658271,0.008581
87,207.228916,-0.451988,0.893586,0.451988,0.104189,0.739599,0.664756,0.015412
88,209.638554,-0.467638,0.877332,0.467638,0.097482,0.734567,0.671130,0.022233
89,212.048193,-0.482996,0.860529,0.482996,0.090831,0.729474,0.677331,0.028979
90,214.457831,-0.498053,0.843189,0.498053,0.084104,0.724221,0.683484,0.035782
91,216.867470,-0.512799,0.825322,0.512799,0.077373,0.718861,0.689522,0.042571
92,219.277108,-0.527225,0.806938,0.527225,0.070667,0.713419,0.695419,0.049315
93,221.686747,-0.541321,0.788051,0.541321,0.063926,0.707846,0.701229,0.056077
94,224.096386,-0.555080,0.768671,0.555080,0.057149,0.702141,0.706952,0.062855
95,226.506024,-0.568491,0.748811,0.568491,0.050371,0.696333,0.712557,0.069616
96,228.915663,-0.581547,0.728483,0.581547,0.043604,0.690431,0.718035,0.076347
97,231.325301,-0.594240,0.707700,0.594240,0.036818,0.684411,0.723411,0.083078
98,233.734940,-0.606561,0.686476,0.606561,0.030082,0.678335,0.728631,0.089742
99,236.144578,-0.618503,0.664823,0.618503,0.023283,0.672101,0.733782,0.096448
100,238.554217,-0.630059,0.642754,0.630059,0.016512,0.665791,0.738795,0.103109
101,240.963855,-0.641222,0.620283,0.641222,0.009653,0.659296,0.743755,0.109837
102,243.373494,-0.651983,0.597425,0.651983,0.002873,0.652774,0.748540,0.116469
103,245.783133,-0.662338,0.574195,0.662338,0.003966,-0.646094,-0.753249,-0.123140
104,248.192771,-0.672278,0.550605,0.672278,0.010751,-0.639363,-0.757804,-0.129740
105,250.602410,-0.681799,0.526671,0.681799,0.017528,-0.632541,-0.762236,-0.136313
106,253.012048,-0.690894,0.502407,0.690894,0.024276,-0.625647,-0.766533,-0.142840
107,255.421687,-0.699557,0.477829,0.699557,0.031108,-0.618566,-0.770766,-0.149429
108,257.831325,-0.707784,0.452951,0.707784,0.037881,-0.611443,-0.774845,-0.155944
109,260.240964,-0.715568,0.427792,0.715568,0.044654,-0.604219,-0.778806,-0.162438
110,262.650602,-0.722905,0.402366,0.722905,0.051448,-0.596871,-0.782662,-0.168935
111,265.060241,-0.729790,0.376688,0.729790,0.058179,-0.589488,-0.786365,-0.175353
